type,Lamp5,Meis2,Pvalb,Sncg,Sst,Vip
Lamp5,-0.0271938,-0.0291902,-0.0184914,-0.0401651,-0.0299631,-0.0247266
Meis2,-0.0387015,-0.0407067,-0.0212323,-0.0525212,-0.0512899,-0.0270662
Pvalb,-0.0250864,-0.0292125,-0.0199141,-0.0422407,-0.0260375,-0.0244109
Sncg,-0.0346692,-0.034864,-0.0238935,-0.0599284,-0.0409961,-0.0238876
Sst,-0.0360437,-0.0368495,-0.0273966,-0.0433679,-0.0468013,-0.0281742
Vip,-0.0350881,-0.0340535,-0.0207746,-0.0521153,-0.0428841,-0.0285037
