type,Lamp5,Meis2,Pvalb,Sncg,Sst,Vip
Lamp5,-0.0242625,-0.0284654,-0.0291781,-0.0272229,-0.0306514,-0.0253145
Meis2,-0.0442661,-0.0380854,-0.0509956,-0.0349069,-0.0416429,-0.035629
Pvalb,-0.0327269,-0.0335393,-0.0377277,-0.0282423,-0.0353018,-0.0299032
Sncg,-0.0345775,-0.0353415,-0.0523327,-0.027093,-0.0374775,-0.0256747
Sst,-0.0306829,-0.0354066,-0.0351038,-0.0313572,-0.0369262,-0.0289024
Vip,-0.0382092,-0.0350375,-0.042385,-0.0318332,-0.039344,-0.0312313
