type,Lamp5,Meis2,Pvalb,Sncg,Sst,Vip
Lamp5,-0.0202533,-0.0159294,-0.0169311,-0.0145616,-0.0186747,-0.0154347
Meis2,-0.0197153,-0.0217463,-0.0184741,-0.0178758,-0.0223616,-0.0185661
Pvalb,-0.0172261,-0.0146759,-0.0218253,-0.0171139,-0.0166739,-0.0156764
Sncg,-0.0161789,-0.0176308,-0.0165233,-0.0299931,-0.0183772,-0.0176633
Sst,-0.0272573,-0.0196078,-0.0218277,-0.016936,-0.0367198,-0.0191222
Vip,-0.0192712,-0.0190296,-0.018865,-0.0191539,-0.0227092,-0.0206304
